,QT_SALAS_EXISTENTES,QT_FUNCIONARIOS,IN_FUND_AF,QT_MAT_BAS,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_ND,QT_MAT_BAS_BRANCA,QT_MAT_BAS_PARDA,QT_MAT_BAS_6_10,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_DOC_FUND,QT_DOC_FUND_AI,QT_DOC_FUND_AF,QT_DOC_ESP,QT_DOC_ESP_CC,QT_TUR_BAS,QT_TUR_FUND,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_ESP,QT_TUR_ESP_CC,QT_MAT_FUND
QT_SALAS_EXISTENTES,1.0,0.8621410527344243,0.41728619029595654,0.6919725012303404,0.5720825782958356,0.5058424104235725,0.6830999238097457,0.6960857559546947,0.5620238504772822,0.5293844567405311,0.5521279959959238,0.5752385729884623,0.5695426167810199,0.5379598018158126,0.5959735535324657,0.41697077637194363,0.6796047944865962,0.6640652167133323,0.5606928278916194,0.49931180805362196,0.49613536814130804,0.4952416879368572,0.6914892069992468,0.6905477495193638,0.5635662013903702,0.49348021371390716,0.4433614203091971,0.4422521926157368,0.6808846119518919
QT_FUNCIONARIOS,0.8621410527344243,1.0,0.4996828441035804,0.7755782956313739,0.5726463783644534,0.6056616837854426,0.7687611816566431,0.7771961539141937,0.6163195518083172,0.6011453570756636,0.6301533122471349,0.5817964601440995,0.6574782474744505,0.6397592734498562,0.6406413358262106,0.5316689451470821,0.7701471642931352,0.73924470817605,0.5555519312213371,0.6017686675260305,0.554712852456801,0.5538692777023613,0.7591856423232335,0.7449142416880539,0.549028905624124,0.5914104011229491,0.459835869618878,0.45898577559618975,0.7549292136902268
IN_FUND_AF,0.41728619029595654,0.4996828441035804,1.0,0.6266354200244463,0.2521064397922121,0.7009699322894046,0.6166579443008099,0.6322190367260591,0.46258521794311963,0.48330679100539925,0.5416205748644196,0.26763784364898313,0.7130204995469137,0.6491466424825694,0.5926946695563738,0.4454888881618382,0.6696758619920071,0.724515392471351,0.26993765237980416,0.7821386905482266,0.6089080965292416,0.6082041054719757,0.6049723951665309,0.6497886407004007,0.2512508934075162,0.7442195182551646,0.4333498480296808,0.432605780923067,0.6532179365819437
QT_MAT_BAS,0.6919725012303404,0.7755782956313739,0.6266354200244463,1.0,0.6783710258051087,0.805482924418003,0.9966220404691268,0.9969080209306539,0.7431025047551714,0.7635756668301393,0.861074983094974,0.7011268237568344,0.8762923696296078,0.8214400026491521,0.8842140603017468,0.7456396515888208,0.957236246412375,0.9302046756427083,0.6562491494213079,0.785759859096843,0.7828754118266958,0.7820971140489408,0.9612122936416332,0.934781100483431,0.6495362561599594,0.7816982187733804,0.6939507663854078,0.6932748917091612,0.9593189467585725
QT_MAT_FUND_AI,0.5720825782958356,0.5726463783644534,0.2521064397922121,0.6783710258051087,1.0,0.20911244496719975,0.6722665252319295,0.6799217945705519,0.5239214785068165,0.5023678248836463,0.5680220224620748,0.9898036495767204,0.36263033922676846,0.2580409053575666,0.6177496334390298,0.3816763028862855,0.6475468967094342,0.6578287441846514,0.9548014468404501,0.22465386252532665,0.4613299285440326,0.4604249997950055,0.7313096993991997,0.7722660514643663,0.9683786318027752,0.21276889251433379,0.5986327873182706,0.597791606817383,0.6914534271038179
QT_MAT_FUND_AF,0.5058424104235725,0.6056616837854426,0.7009699322894046,0.805482924418003,0.20911244496719975,1.0,0.8008365636132959,0.8048346839432293,0.6194522729151057,0.6350191895258261,0.6717784111911757,0.24010586820576976,0.9719537084425294,0.936826471782103,0.7150171884879811,0.5956827581659981,0.7533186600370115,0.8281112135783476,0.20623403212547015,0.9543203174029273,0.7120844594202369,0.7116231543530414,0.6828669229722726,0.7546063908353119,0.188543387341238,0.9678085613365993,0.4663755642554753,0.4659737811550248,0.8510409842816177
QT_MAT_BAS_FEM,0.6830999238097457,0.7687611816566431,0.6166579443008099,0.9966220404691268,0.6722665252319295,0.8008365636132959,1.0,0.9870873456556907,0.7430807821711557,0.7574045291663225,0.8568898890361752,0.6966457115740388,0.8701260245873936,0.8158574023283331,0.875301786015709,0.7568647150359089,0.9521526141342294,0.9221731088132984,0.6505162153743375,0.7790780373270995,0.7747582854774933,0.7740069849569918,0.9566466024998501,0.9267128502730823,0.6437580895275794,0.7751236664077704,0.6885500152730898,0.6878973818453994,0.9526084917539703
QT_MAT_BAS_MASC,0.6960857559546947,0.7771961539141937,0.6322190367260591,0.9969080209306539,0.6799217945705519,0.8048346839432293,0.9870873456556907,1.0,0.738423895295335,0.764651358418203,0.8596338364124071,0.7009804229093026,0.8766506531604753,0.8215866453241505,0.8871495579778211,0.7301840478820835,0.9560466974804475,0.9320066650298949,0.6575843016742524,0.7871838811128622,0.7856909776761893,0.7848917708333221,0.9595020329117357,0.9365892472156692,0.6509571395071462,0.7830452910775327,0.6947296595781882,0.6940358218685342,0.9596727743075432
QT_MAT_BAS_ND,0.5620238504772822,0.6163195518083172,0.46258521794311963,0.7431025047551714,0.5239214785068165,0.6194522729151057,0.7430807821711557,0.738423895295335,1.0,0.3344550843207818,0.31234233922971427,0.5427146312967817,0.6604193158184466,0.6274667245379832,0.5672873520798116,0.5794345191238031,0.6931131239921833,0.6982613604362891,0.4990821431094124,0.5875556790341313,0.500400993139988,0.49940396491933076,0.6973277636018295,0.7098074030922972,0.4999412890719599,0.5868184290493544,0.43494587784118915,0.4337496515939559,0.7389532122934748
QT_MAT_BAS_BRANCA,0.5293844567405311,0.6011453570756636,0.48330679100539925,0.7635756668301393,0.5023678248836463,0.6350191895258261,0.7574045291663225,0.764651358418203,0.3344550843207818,1.0,0.760673626956311,0.5198737203427667,0.6907426500722734,0.6387040445185582,0.7327878430345721,0.518157820401989,0.7420745392767557,0.7260664984370829,0.4945553502716809,0.6231901216563039,0.6797329290519133,0.6794237227583794,0.7315905060280289,0.7174699630499486,0.4846000149078425,0.613952164826626,0.6055959362655877,0.6054244331202574,0.7388796461645891
