,TP_DEPENDENCIA,IN_LABORATORIO_CIENCIAS,IN_QUADRA_ESPORTES,QT_SALAS_EXISTENTES,QT_SALAS_UTILIZADAS,QT_COMP_ALUNO,QT_COMPUTADOR,QT_COMP_ADMINISTRATIVO,QT_FUNCIONARIOS,IN_FUND_AI,IN_MED,IN_PROF_TEC,IN_EJA_MED,QT_MAT_BAS,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_PROF,QT_MAT_PROF_TEC,QT_MAT_EJA_MED,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_ND,QT_MAT_BAS_BRANCA,QT_MAT_BAS_PRETA,QT_MAT_BAS_PARDA,QT_MAT_BAS_6_10,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_MAT_BAS_18_MAIS,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_DOC_FUND_AI,QT_DOC_FUND_AF,QT_DOC_MED,QT_DOC_PROF,QT_DOC_PROF_TEC,QT_DOC_EJA_MED,QT_DOC_ESP,QT_DOC_ESP_CC,QT_TUR_BAS,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_PROF_TEC,QT_TUR_EJA_MED,QT_MAT_MED
TP_DEPENDENCIA,1.0,-0.4991386690180452,-0.1453745766949604,-0.1900340536699467,-0.22715974824518098,-0.17840710653688716,-0.21069706471994767,-0.18620907678887094,-0.28912222553335126,0.27665669541576254,-0.5743962117009253,-0.21948106242036297,-0.3805568007740852,-0.39199292672954245,0.3762485180734003,-0.44548331216377596,-0.20843829173411588,-0.21814343814478449,-0.2996019956451046,-0.3966499927867884,-0.37859566033832626,-0.23389094431453017,-0.3748138425921424,-0.25454885830941465,-0.40581729385011717,0.3968192125635494,-0.42734331367879347,-0.535377468644824,-0.4261470840149479,-0.3312620798415957,-0.33704580626863806,-0.4004260372636344,0.32557051362120115,-0.46668581026700195,-0.4837918171354919,-0.2107455200920913,-0.2162325221984593,-0.35291125578214877,-0.3081964166314751,-0.30521641031001634,-0.2671488866513712,0.4033869364575566,-0.4536215016979306,-0.48492919216070046,-0.21070785751251964,-0.21993713500984757,-0.3173790090231395,-0.46810777531718223
IN_LABORATORIO_CIENCIAS,-0.4991386690180452,1.0,0.318301612356748,0.2606391631638421,0.3598595559338305,0.15311547083056248,0.16347936062997712,0.12054116637937137,0.309252833554392,-0.3162649763437682,0.6641699090155176,0.23396388329311532,0.3804125192473682,0.5602374088120446,-0.2774088973545037,0.49791619215040755,0.16106244773261222,0.16129269162375592,0.3378915821386247,0.5681879533043238,0.5396416607186179,0.4262488701810057,0.4172466958443457,0.3043413208579007,0.48046227952825604,-0.2760050008402401,0.48904394640179294,0.6358089168210009,0.5204393989278833,0.4867347285090127,0.4634409628304116,0.4845836908383822,-0.2727102201925518,0.5042779640627166,0.5218336167306721,0.15133303580540036,0.1507235149565669,0.35209702703076184,0.3841366349587335,0.3856543674442891,0.48010581661921603,-0.29205995509463306,0.4975777179039511,0.5683941443606835,0.1620664542098484,0.16237655033531997,0.33998083751774527,0.5646549645581903
IN_QUADRA_ESPORTES,-0.1453745766949604,0.318301612356748,1.0,0.2672698242130597,0.35701617380538175,0.12394691631871586,0.12198154283068857,0.0859428423774474,0.22804909148766933,-0.008586349904043812,0.3446157736077503,0.10982632323193402,0.18887458804429225,0.40251717045064805,0.10893601501068066,0.23818157794910283,0.10545087350245096,0.09885825758810877,0.1482225095445492,0.388227811819972,0.410095587806229,0.3185225895174817,0.26853146750307416,0.20046380952135961,0.3366487095753809,0.10296958201952412,0.2762845726309934,0.35495681643901966,0.324845044620576,0.39364875451072323,0.3188773427367152,0.3897364608996925,0.1241963347982831,0.2725427740090226,0.3003240174009392,0.09092245480725776,0.08729754846129226,0.18015570221777896,0.34287499796652404,0.3442267912153596,0.43117403027102247,0.1185349622853846,0.24877539638860888,0.31438598398541856,0.10257278274234095,0.09671075001705283,0.16083499713455762,0.30597577591646324
QT_SALAS_EXISTENTES,-0.1900340536699467,0.2606391631638421,0.2672698242130597,1.0,0.3152326348370088,0.3440195028209674,0.361622004263644,0.2724011762403764,0.7562634217130171,0.009968073889345662,0.2783184187736602,0.16580856932910373,0.1224961838823787,0.4791141861215283,0.1946120569474473,0.282340805315362,0.20169909711069747,0.19127175010051084,0.08512462988391284,0.4683819333530763,0.4811133978864892,0.4355574342385436,0.33223138890261655,0.34671611080348363,0.30284794442956964,0.1824957445688889,0.3352221313774073,0.34107051766648006,0.36592350247410527,0.27799992349985486,0.3704977598977744,0.44274065328211887,0.1687413610000566,0.2671238229485278,0.2979610868906254,0.19985450924119036,0.19536613460962132,0.09497020082747755,0.12519005785941204,0.12354249695117744,0.5339846274429215,0.18855862272424917,0.3015545725191472,0.31255815057594893,0.20466488355935308,0.19441351982254704,0.07940293963102406,0.3030881649587537
QT_SALAS_UTILIZADAS,-0.22715974824518098,0.3598595559338305,0.35701617380538175,0.3152326348370088,1.0,0.1669363640980311,0.1875268148578297,0.17992902221265472,0.2900657202286898,-0.0785120805741083,0.2970464489489492,0.2964944400777792,0.2357042364781837,0.47647793926080106,0.12030912908589027,0.23411633039303353,0.2735239817951103,0.265511358957036,0.1776860939087662,0.46195061721185876,0.4827777838172811,0.3465857603456398,0.37148502219548,0.34150537769222694,0.41763992159030705,0.114219271194373,0.29115119354383023,0.38958180719359714,0.4140552538675427,0.5110071760413565,0.28757232880121225,0.5540664850945592,0.12380554957600627,0.26418408983727915,0.37221885290395945,0.29797269998386033,0.29391810508563443,0.22391990776243162,0.42328420840201925,0.4221891554916215,0.5561961868852761,0.1263515802707693,0.2575939921112055,0.36156227644582484,0.283520413531743,0.27420998923688533,0.19862897331963736,0.34602678766723094
QT_COMP_ALUNO,-0.17840710653688716,0.15311547083056248,0.12394691631871586,0.3440195028209674,0.1669363640980311,1.0,0.9147882504310363,0.6687424383556386,0.5475249331323725,-0.019712388249096338,0.16084426450539058,0.2847967521107623,0.13597379316276756,0.2546197970178897,0.0007233798388612795,0.0617264645424361,0.5286485797253873,0.5294240295468386,0.031207049210614977,0.2283246181854022,0.2787182735787143,0.2212061717377858,0.2554046168860366,0.14067694232117572,0.16032670337758867,-0.007524279878803545,0.08682420058422993,0.2697025845051874,0.3069409933669429,0.20767117550730574,0.16266472589879571,0.4312584512805903,-0.003181711951644657,0.06300434075658276,0.4604902890501778,0.5244810837653385,0.5241995040861728,0.08785649671744075,0.1313584621872506,0.1312704806664506,0.2860697151038837,-0.00030220363127665695,0.06085210199345564,0.3601819350580722,0.5259327250069575,0.5263930968991972,0.04473623932748242,0.3220397869859599
QT_COMPUTADOR,-0.21069706471994767,0.16347936062997712,0.12198154283068857,0.361622004263644,0.1875268148578297,0.9147882504310363,1.0,0.8521941644057693,0.5936581942723531,-0.041613455967616064,0.17116212209196036,0.34325693612657987,0.1633490320159315,0.2732402270859363,-0.02193023290315249,0.054348808271849354,0.6333555830002295,0.6354299792521908,0.034363601976886544,0.24138884742844752,0.3031655483832397,0.2192936357626774,0.3011110843125729,0.1665977888375744,0.18993774910421216,-0.02970018514300823,0.079628674262689,0.3090269111050757,0.3381951199993321,0.24054729523376608,0.15675773216555527,0.5001989039668796,-0.025372988737855068,0.05196662847055232,0.5385442622154122,0.6391035090149778,0.6394905856069867,0.11241742644389047,0.1534454571657701,0.15352707634270635,0.31175742863845946,-0.022608893156433482,0.052509106229798395,0.4139221961537636,0.634755537191963,0.636371000017967,0.05122304711058095,0.362926899707411
QT_COMP_ADMINISTRATIVO,-0.18620907678887094,0.12054116637937137,0.0859428423774474,0.2724011762403764,0.17992902221265472,0.6687424383556386,0.8521941644057693,1.0,0.522019311804813,-0.06340410897386978,0.12556255237045275,0.3467359296949642,0.14743617043741172,0.22005961229116308,-0.046857192659060735,0.0018778519414291007,0.6612178320963116,0.6648614461740898,0.024942094158085893,0.18649101284393046,0.25301675820734365,0.1558153841207489,0.2878812610501618,0.142575291955284,0.17093622131819006,-0.051044909090507316,0.022442849392293174,0.2722807272499119,0.3074034658960027,0.22955261740839786,0.09159898613467433,0.4645067860548908,-0.048350123094601474,-0.004129072752814185,0.5259399574183341,0.6571830598577699,0.6584585553602258,0.10420001465687129,0.14908857726685368,0.14937819529172452,0.2595637850789928,-0.0471351595589885,-0.0018115225988960496,0.3928602974975128,0.658767931871477,0.6617278584260995,0.04475211091130964,0.3378118787818547
QT_FUNCIONARIOS,-0.28912222553335126,0.309252833554392,0.22804909148766933,0.7562634217130171,0.2900657202286898,0.5475249331323725,0.5936581942723531,0.522019311804813,1.0,-0.07088972867302495,0.34440719013881194,0.33374450524146865,0.2195648314965067,0.5711932200028275,0.04238115014309612,0.35397433893730923,0.4389754461752092,0.44096693382486035,0.13656271150777824,0.5610349135002706,0.5706271421183603,0.5114424484910013,0.4606064176174867,0.38948828765111543,0.35929478430412876,0.038941468799828155,0.38455915993321343,0.47612979178129716,0.5454447540308369,0.326483415755742,0.4743051968275631,0.6413327722666207,0.02184428111827487,0.33640105396532666,0.49233172913197765,0.4607904428838948,0.4612786656697267,0.17846954266089118,0.18244128750795607,0.18125021565202168,0.5877409313494627,0.017856801971745044,0.35228316870932247,0.46650936860633674,0.4426364112792769,0.4441683302557713,0.1347576228941404,0.4494559299739314
IN_FUND_AI,0.27665669541576254,-0.3162649763437682,-0.008586349904043812,0.009968073889345662,-0.0785120805741083,-0.019712388249096338,-0.041613455967616064,-0.06340410897386978,-0.07088972867302495,1.0,-0.45503152251371864,-0.1594662858537005,-0.3416704881529629,-0.15967415597793214,0.7696490619574674,-0.3150123769512754,-0.0938273161658436,-0.09845144800913819,-0.30405346747352124,-0.18212902693066021,-0.13121869393612215,-0.032999113965068286,-0.20546389742852184,-0.10938398150276143,-0.24280655904801704,0.7536059725997513,-0.21280171229096664,-0.4312387744288252,-0.26642963094804256,-0.18166407347454175,-0.15323770335217216,-0.1501475491498367,0.80595926021517,-0.3099843536153312,-0.364260449080191,-0.1027889261732764,-0.10527877490654065,-0.32864194892143633,-0.14029207808717722,-0.14118474723868787,-0.02073003743820119,0.7824262600282943,-0.28423909388071184,-0.38862629592900405,-0.09825045622131667,-0.10265033511138386,-0.32077027171828837,-0.385688113692657
